,videoid,publishedAt,thumbnail_url,hashtags,viewCount,commentCount
65,C2MPBcSsYPM,2022-10-17T18:13:56Z,https://i.ytimg.com/vi/C2MPBcSsYPM/hqdefault.jpg,{'#FarooqJustifiesTerror'},8521,44
66,xVgqcE9NoUU,2022-02-14T17:35:07Z,https://i.ytimg.com/vi/xVgqcE9NoUU/hqdefault.jpg,{'#PakMeddlers'},119999,261
67,pWeTZWVOXn0,2022-09-21T17:43:09Z,https://i.ytimg.com/vi/pWeTZWVOXn0/hqdefault.jpg,{'#FinalTRPReport'},28397,43
68,lrJ3hVEM5_w,2021-07-01T17:38:23Z,https://i.ytimg.com/vi/lrJ3hVEM5_w/hqdefault.jpg,{'#YogiVsAll'},1329,2
69,XCCyBTHoFGA,2021-11-18T20:34:38Z,https://i.ytimg.com/vi/XCCyBTHoFGA/hqdefault.jpg,{'#CryptoFear'},6811,26
70,_H9aCrKjAPo,2022-10-07T01:14:59Z,https://i.ytimg.com/vi/_H9aCrKjAPo/hqdefault.jpg,{'#RespectThePresident'},36047,29
71,J6iKvHEp88U,2022-10-25T18:45:47Z,https://i.ytimg.com/vi/J6iKvHEp88U/hqdefault.jpg,{'#CoimbatoreTruth'},5985,31
72,aVmm0C9fJZg,2021-04-15T18:40:03Z,https://i.ytimg.com/vi/aVmm0C9fJZg/hqdefault.jpg,{'#COVIDActionPlan'},45768,253
73,CLsgkpn7ycE,2022-02-08T18:30:07Z,https://i.ytimg.com/vi/CLsgkpn7ycE/hqdefault.jpg,{'#NationAboveAll'},36701,167
74,HvVkrpBLLGs,2022-09-22T17:39:12Z,https://i.ytimg.com/vi/HvVkrpBLLGs/hqdefault.jpg,"{'#TRPTruthout', '#TRPTruthOut'}",41574,45
75,NrXxbL0WsAs,2021-08-27T19:50:45Z,https://i.ytimg.com/vi/NrXxbL0WsAs/hqdefault.jpg,{'#WipeOutPakTerror'},213702,1589
76,8vSF702XfY4,2021-10-21T18:54:18Z,https://i.ytimg.com/vi/8vSF702XfY4/hqdefault.jpg,"{'#NCBJoltsBollywood', '#NC'}",148651,910
77,pyJapdt9amc,2021-07-27T18:22:07Z,https://i.ytimg.com/vi/pyJapdt9amc/hqdefault.jpg,{'#AssamMizoramClash'},64547,2105
78,m5eRvmiljmg,2018-10-10T04:08:17Z,https://i.ytimg.com/vi/m5eRvmiljmg/hqdefault.jpg,{'#CongTukdeTruth'},44326,282
79,YvF1tYZzSmg,2019-10-04T06:12:29Z,https://i.ytimg.com/vi/YvF1tYZzSmg/hqdefault.jpg,{'#NayaKashmirSpeaks'},150572,761
80,FkdCwCjATHk,2022-06-20T18:45:00Z,https://i.ytimg.com/vi/FkdCwCjATHk/hqdefault.jpg,"{'#indiawithAgniveer', '#IndiaWithAgniveer'}",14662,91
81,vZXtSUef-MI,2019-10-23T06:11:18Z,https://i.ytimg.com/vi/vZXtSUef-MI/hqdefault.jpg,{'#OperationPoK'},168636,606
82,OyJ0LDoTVao,2019-12-26T05:59:31Z,https://i.ytimg.com/vi/OyJ0LDoTVao/hqdefault.jpg,{'#FakeNewsMafia'},38437,202
83,0Eg3vf8_2Pg,2019-05-02T05:21:54Z,https://i.ytimg.com/vi/0Eg3vf8_2Pg/hqdefault.jpg,"{'#JaiShriRamChant', '#J'}",239594,1506
84,7290Ayr2uAE,2018-10-24T04:28:10Z,https://i.ytimg.com/vi/7290Ayr2uAE/hqdefault.jpg,{'#MyVandeMataram'},30522,244
85,tfhujhP-E4w,2018-05-15T01:43:11Z,https://i.ytimg.com/vi/tfhujhP-E4w/hqdefault.jpg,{'#TharoorCharged'},21677,74
86,yJwqpABXsQA,2022-10-18T18:14:00Z,https://i.ytimg.com/vi/yJwqpABXsQA/hqdefault.jpg,{'#TerrorStateSilent'},10939,44
87,zjao4ppN3Gc,2019-03-01T07:08:05Z,https://i.ytimg.com/vi/zjao4ppN3Gc/hqdefault.jpg,{'#Finalstrike'},106514,973
88,CQfDZx337i8,2021-06-30T19:17:26Z,https://i.ytimg.com/vi/CQfDZx337i8/hqdefault.jpg,{'#PakBeWarned'},94488,611
89,unEjizh9mi8,2020-05-20T17:30:04Z,https://i.ytimg.com/vi/unEjizh9mi8/hqdefault.jpg,{'#ChinaUsesNepal'},51793,470
90,NIz1BduYdhg,2020-11-16T18:03:49Z,https://i.ytimg.com/vi/NIz1BduYdhg/hqdefault.jpg,{'#IndiaVsGupkarGang'},49974,339
91,tn_NEBg8bNw,2022-01-26T18:30:54Z,https://i.ytimg.com/vi/tn_NEBg8bNw/hqdefault.jpg,{'#PadmapPolitics'},23325,97
92,xBm5hHEn7io,2022-06-28T18:15:05Z,https://i.ytimg.com/vi/xBm5hHEn7io/hqdefault.jpg,{'#ZubairHypocrites'},27739,168
93,bzdtgHKG7Tw,2019-08-02T05:01:04Z,https://i.ytimg.com/vi/bzdtgHKG7Tw/hqdefault.jpg,"{'#NoJusticeInUnnao', '#NoJusticelInUnnao', '#NoJustice'}",26642,261
94,uePXnVhlY44,2019-11-22T05:49:42Z,https://i.ytimg.com/vi/uePXnVhlY44/hqdefault.jpg,{'#ArrestNithyananda'},313419,1210
95,hJ1hlTAHguc,2022-09-02T17:42:46Z,https://i.ytimg.com/vi/hJ1hlTAHguc/hqdefault.jpg,{'#ShivamurthyVVIPTreatment'},31181,60
96,0iLbCnS6dd8,2019-01-15T05:47:43Z,https://i.ytimg.com/vi/0iLbCnS6dd8/hqdefault.jpg,{'#TukdeTukdeChargesheet'},197758,2229
